PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
11192,Pontiac,Male,Married,43,Sedan - Liability,Sport,"30,000 to 39,000",7,700,2,2 to 4,7 years,36 to 40,External,no change,Liability
11193,Chevrolet,Male,Married,27,Sedan - All Perils,Sedan,"more than 69,000",1,400,4,none,7 years,31 to 35,External,no change,All Perils
11194,Toyota,Male,Single,32,Sedan - Liability,Sport,"30,000 to 39,000",13,400,4,2 to 4,7 years,31 to 35,External,1 year,Liability
11195,Honda,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,1,6 years,31 to 35,External,no change,Collision
11196,Chevrolet,Male,Single,29,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,more than 4,6 years,31 to 35,External,no change,Collision
11197,Mazda,Male,Married,43,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,3,2 to 4,7 years,36 to 40,External,no change,Collision
11198,Pontiac,Male,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",1,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
11199,Honda,Male,Single,25,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,2 to 4,5 years,26 to 30,External,no change,All Perils
11200,Pontiac,Male,Single,28,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,2,none,7 years,31 to 35,External,no change,All Perils
11201,Chevrolet,Male,Single,34,Sedan - All Perils,Sedan,"more than 69,000",8,400,2,1,7 years,31 to 35,External,no change,All Perils
11202,Pontiac,Male,Married,43,Sedan - Liability,Sport,"more than 69,000",10,400,3,2 to 4,6 years,36 to 40,External,no change,Liability
11203,Pontiac,Male,Married,64,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,4,none,more than 7,51 to 65,External,no change,All Perils
11204,Porche,Male,Married,61,Utility - Collision,Utility,"more than 69,000",15,400,2,none,more than 7,51 to 65,External,no change,Collision
11205,Honda,Male,Single,50,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,2 to 4,6 years,41 to 50,External,no change,Collision
11206,Honda,Male,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
11207,Pontiac,Male,Married,31,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,2,2 to 4,7 years,31 to 35,External,no change,All Perils
11208,Honda,Male,Single,28,Sedan - All Perils,Sedan,"less than 20,000",7,400,4,more than 4,6 years,31 to 35,External,no change,All Perils
11209,Mazda,Male,Single,30,Sedan - Liability,Sport,"more than 69,000",9,400,2,more than 4,6 years,31 to 35,External,no change,Liability
11210,Toyota,Male,Single,23,Sedan - Collision,Sedan,"less than 20,000",5,400,3,1,6 years,26 to 30,External,no change,Collision
11211,Honda,Male,Single,28,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,1,none,7 years,31 to 35,External,no change,Collision
11212,Chevrolet,Female,Married,48,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,3,more than 4,7 years,41 to 50,External,no change,All Perils
11213,Honda,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,none,6 years,31 to 35,External,no change,Collision
11214,Toyota,Male,Married,56,Sedan - Liability,Sport,"30,000 to 39,000",1,400,2,none,more than 7,51 to 65,External,no change,Liability
11215,Toyota,Male,Married,59,Sedan - Liability,Sport,"30,000 to 39,000",13,400,1,2 to 4,more than 7,51 to 65,External,4 to 8 years,Liability
11216,Chevrolet,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,3,none,7 years,36 to 40,External,no change,All Perils
11217,Pontiac,Female,Single,32,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,4,1,6 years,31 to 35,External,no change,All Perils
11218,Mazda,Male,Married,56,Sedan - Liability,Sport,"more than 69,000",8,400,3,more than 4,more than 7,51 to 65,External,no change,Liability
11219,Mazda,Male,Married,33,Sedan - Liability,Sport,"20,000 to 29,000",6,400,3,1,6 years,31 to 35,External,no change,Liability
11220,Pontiac,Male,Married,32,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,4,none,6 years,31 to 35,External,no change,Collision
11221,Toyota,Male,Single,32,Sedan - All Perils,Sedan,"20,000 to 29,000",7,500,1,none,6 years,31 to 35,External,2 to 3 years,All Perils
11222,Saturn,Male,Married,31,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,1,none,7 years,31 to 35,External,no change,Collision
11223,Pontiac,Female,Married,42,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,3,2 to 4,6 years,36 to 40,External,no change,All Perils
11224,Toyota,Female,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,2 to 4,5 years,31 to 35,External,no change,Collision
11225,Pontiac,Male,Single,26,Sedan - Liability,Sport,"30,000 to 39,000",8,400,2,2 to 4,7 years,31 to 35,External,no change,Liability
11226,Chevrolet,Female,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",9,400,4,2 to 4,7 years,31 to 35,External,no change,Liability
11227,Toyota,Female,Single,29,Sedan - Liability,Sport,"20,000 to 29,000",1,400,2,2 to 4,7 years,31 to 35,External,no change,Liability
11228,Honda,Male,Married,32,Sport - Collision,Sport,"more than 69,000",9,400,4,none,7 years,31 to 35,External,no change,Collision
11229,Mazda,Female,Married,54,Sedan - All Perils,Sedan,"30,000 to 39,000",7,400,3,2 to 4,5 years,41 to 50,External,no change,All Perils
11230,Toyota,Male,Married,66,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,4,1,more than 7,over 65,External,no change,All Perils
11231,Chevrolet,Male,Married,29,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,3,2 to 4,6 years,31 to 35,External,no change,Collision
11232,Chevrolet,Male,Married,59,Utility - All Perils,Utility,"more than 69,000",13,400,3,more than 4,more than 7,51 to 65,External,no change,All Perils
11233,Chevrolet,Female,Married,47,Sedan - Liability,Sport,"20,000 to 29,000",1,400,2,more than 4,more than 7,41 to 50,External,no change,Liability
11234,Mazda,Male,Married,51,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,1,none,7 years,41 to 50,External,no change,Collision
11235,Toyota,Male,Single,33,Sedan - Liability,Sport,"20,000 to 29,000",7,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
11236,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",3,400,4,2 to 4,new,16 to 17,External,4 to 8 years,Liability
11237,Honda,Male,Single,16,Sport - All Perils,Sport,"more than 69,000",10,400,2,none,new,16 to 17,External,no change,All Perils
11238,Honda,Male,Single,16,Sedan - All Perils,Sedan,"more than 69,000",16,400,3,none,new,16 to 17,External,no change,All Perils
11239,Chevrolet,Male,Married,62,Sedan - Liability,Sport,"30,000 to 39,000",10,400,4,none,more than 7,51 to 65,External,no change,Liability
11240,Chevrolet,Male,Married,22,Sedan - Liability,Sport,"20,000 to 29,000",9,400,1,2 to 4,5 years,26 to 30,External,no change,Liability
11241,Lexus,Male,Married,51,Sedan - Collision,Sedan,"more than 69,000",3,400,2,1,more than 7,41 to 50,External,no change,Collision
11242,Toyota,Male,Married,54,Sedan - All Perils,Sedan,"less than 20,000",11,400,2,none,7 years,41 to 50,External,no change,All Perils
11243,Toyota,Male,Married,51,Sedan - Liability,Sport,"30,000 to 39,000",6,400,1,1,more than 7,41 to 50,External,no change,Liability
11244,Chevrolet,Male,Married,67,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,3,none,more than 7,over 65,External,no change,Collision
11245,Honda,Male,Married,55,Sedan - Liability,Sport,"more than 69,000",2,400,1,2 to 4,more than 7,41 to 50,External,no change,Liability
11246,Toyota,Male,Married,35,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,3,none,5 years,31 to 35,External,no change,All Perils
11247,Honda,Male,Married,55,Sedan - Liability,Sport,"30,000 to 39,000",4,400,1,1,more than 7,41 to 50,External,no change,Liability
11248,Toyota,Male,Married,72,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,2,1,more than 7,over 65,External,no change,All Perils
11249,Toyota,Male,Married,43,Sedan - Liability,Sport,"30,000 to 39,000",6,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
11250,Mazda,Male,Married,65,Sedan - Collision,Sedan,"30,000 to 39,000",6,400,2,1,more than 7,51 to 65,External,no change,Collision
11251,Pontiac,Male,Married,63,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,2,2 to 4,more than 7,51 to 65,External,no change,All Perils
11252,Pontiac,Male,Married,48,Sedan - All Perils,Sedan,"less than 20,000",7,400,1,1,7 years,41 to 50,External,no change,All Perils
11253,Honda,Male,Married,49,Sedan - Liability,Sport,"30,000 to 39,000",15,400,1,none,7 years,41 to 50,External,no change,Liability
11254,Honda,Male,Married,39,Sedan - Liability,Sport,"30,000 to 39,000",5,700,4,1,7 years,36 to 40,External,no change,Liability
11255,Mazda,Female,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,none,6 years,31 to 35,External,no change,Collision
11256,Chevrolet,Male,Married,58,Sedan - Liability,Sport,"20,000 to 29,000",7,400,1,2 to 4,6 years,51 to 65,External,no change,Liability
11257,Honda,Female,Single,44,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,4,none,7 years,36 to 40,External,4 to 8 years,Collision
11258,Mazda,Male,Married,40,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,1,none,more than 7,36 to 40,External,no change,All Perils
11259,Mazda,Male,Married,39,Sedan - Liability,Sport,"30,000 to 39,000",16,400,4,2 to 4,7 years,36 to 40,External,no change,Liability
11260,Honda,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,3,1,7 years,36 to 40,External,no change,Collision
11261,Chevrolet,Male,Single,38,Sedan - Liability,Sport,"30,000 to 39,000",3,400,4,none,7 years,36 to 40,Internal,no change,Liability
11262,Toyota,Male,Married,72,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,1,2 to 4,more than 7,over 65,External,no change,All Perils
11263,Chevrolet,Female,Married,55,Sedan - All Perils,Sedan,"30,000 to 39,000",16,400,3,2 to 4,more than 7,41 to 50,External,no change,All Perils
11264,Chevrolet,Female,Married,48,Sedan - Liability,Sport,"20,000 to 29,000",7,400,4,more than 4,7 years,41 to 50,External,no change,Liability
11265,Pontiac,Male,Married,32,Sedan - All Perils,Sedan,"less than 20,000",14,400,4,none,6 years,31 to 35,External,no change,All Perils
11266,Toyota,Male,Married,75,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,4,none,more than 7,over 65,External,no change,Collision
11267,Ford,Male,Single,40,Sedan - All Perils,Sedan,"40,000 to 59,000",14,400,1,none,7 years,36 to 40,External,no change,All Perils
11268,Pontiac,Male,Married,62,Sedan - Liability,Sport,"20,000 to 29,000",7,400,4,more than 4,more than 7,51 to 65,External,no change,Liability
11269,Pontiac,Male,Single,41,Sedan - Liability,Sport,"20,000 to 29,000",8,400,4,1,7 years,36 to 40,External,no change,Liability
11270,Honda,Male,Single,27,Sedan - Liability,Sport,"20,000 to 29,000",2,400,2,1,6 years,31 to 35,External,no change,Liability
11271,Pontiac,Female,Single,44,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,3,none,6 years,36 to 40,External,no change,All Perils
11272,Toyota,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",8,500,4,2 to 4,7 years,36 to 40,External,2 to 3 years,Collision
11273,Pontiac,Female,Married,34,Sedan - Liability,Sport,"more than 69,000",7,400,3,none,2 years,31 to 35,External,no change,Liability
11274,Mazda,Male,Married,36,Sedan - Collision,Sedan,"less than 20,000",7,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
11275,Mazda,Male,Married,29,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,4,1,5 years,31 to 35,External,no change,Collision
11276,Mazda,Male,Single,26,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,1,1,7 years,31 to 35,External,no change,All Perils
11277,Mercury,Male,Single,25,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,4,more than 4,4 years,26 to 30,External,no change,All Perils
11278,Honda,Female,Single,27,Sedan - Collision,Sedan,"more than 69,000",11,400,3,2 to 4,new,31 to 35,External,4 to 8 years,Collision
11279,Saturn,Male,Married,40,Sedan - Liability,Sport,"60,000 to 69,000",1,400,4,2 to 4,7 years,36 to 40,External,no change,Liability
11280,Toyota,Male,Married,59,Sedan - All Perils,Sedan,"less than 20,000",1,400,2,1,more than 7,51 to 65,External,no change,All Perils
11281,Honda,Female,Single,31,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,3,1,6 years,31 to 35,External,no change,Collision
11282,Pontiac,Male,Married,60,Sedan - Collision,Sedan,"less than 20,000",5,400,4,1,more than 7,51 to 65,External,no change,Collision
11283,Chevrolet,Male,Married,62,Utility - All Perils,Utility,"more than 69,000",10,400,4,2 to 4,more than 7,51 to 65,External,no change,All Perils
11284,Ford,Male,Married,63,Sedan - All Perils,Sedan,"40,000 to 59,000",15,400,4,1,more than 7,51 to 65,External,no change,All Perils
11285,Mazda,Female,Married,26,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,3,none,5 years,31 to 35,External,1 year,Collision
11286,Chevrolet,Male,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,3,none,6 years,31 to 35,External,no change,Collision
11287,Toyota,Male,Married,47,Sedan - Liability,Sport,"30,000 to 39,000",5,400,3,2 to 4,more than 7,41 to 50,External,no change,Liability
11288,Toyota,Male,Married,39,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,4,more than 4,more than 7,36 to 40,External,no change,Collision
11289,Chevrolet,Female,Single,30,Sedan - Collision,Sedan,"more than 69,000",10,400,4,1,6 years,31 to 35,External,no change,Collision
11290,Pontiac,Male,Married,48,Utility - All Perils,Utility,"more than 69,000",6,400,1,1,7 years,41 to 50,External,no change,All Perils
11291,Mazda,Male,Married,65,Sedan - Collision,Sedan,"less than 20,000",8,400,1,1,7 years,51 to 65,External,no change,Collision
11292,Mazda,Male,Single,28,Sedan - Collision,Sedan,"30,000 to 39,000",12,400,2,1,6 years,31 to 35,External,no change,Collision
11293,Toyota,Male,Single,45,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,4,more than 4,7 years,36 to 40,External,no change,Collision
11294,Honda,Male,Single,28,Sedan - Liability,Sport,"20,000 to 29,000",5,400,2,more than 4,5 years,31 to 35,External,no change,Liability
11295,Mazda,Male,Single,22,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,2,1,4 years,26 to 30,External,no change,All Perils
11296,Chevrolet,Male,Married,36,Sedan - Liability,Sport,"20,000 to 29,000",5,400,1,2 to 4,5 years,36 to 40,External,no change,Liability
11297,Chevrolet,Male,Married,54,Sedan - Collision,Sedan,"more than 69,000",12,400,2,1,more than 7,41 to 50,External,no change,Collision
11298,Pontiac,Male,Married,46,Sedan - Liability,Sport,"less than 20,000",9,400,2,1,more than 7,41 to 50,External,no change,Liability
11299,Pontiac,Male,Married,48,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,2 to 4,more than 7,41 to 50,External,4 to 8 years,Collision
11300,Toyota,Male,Married,34,Sedan - All Perils,Sedan,"less than 20,000",10,400,4,none,4 years,31 to 35,External,no change,All Perils
11301,Pontiac,Male,Single,31,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,2,more than 4,6 years,31 to 35,External,no change,All Perils
11302,Chevrolet,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
11303,Pontiac,Male,Single,35,Sedan - Liability,Sport,"20,000 to 29,000",11,400,4,none,6 years,31 to 35,External,no change,Liability
11304,Pontiac,Male,Married,26,Sedan - All Perils,Sedan,"less than 20,000",8,400,2,2 to 4,6 years,31 to 35,External,no change,All Perils
11305,Chevrolet,Male,Married,58,Sedan - Liability,Sport,"40,000 to 59,000",16,400,1,2 to 4,more than 7,51 to 65,External,no change,Liability
11306,Accura,Male,Married,28,Sedan - All Perils,Sedan,"30,000 to 39,000",12,400,3,2 to 4,7 years,31 to 35,External,no change,All Perils
11307,Pontiac,Male,Married,48,Sedan - Liability,Sport,"30,000 to 39,000",7,400,2,2 to 4,more than 7,41 to 50,Internal,no change,Liability
11308,Chevrolet,Male,Married,35,Sedan - Liability,Sport,"30,000 to 39,000",7,400,4,more than 4,6 years,31 to 35,External,no change,Liability
11309,Toyota,Female,Married,63,Sedan - Liability,Sport,"20,000 to 29,000",3,400,4,more than 4,more than 7,51 to 65,External,no change,Liability
11310,Mazda,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,1,none,7 years,31 to 35,External,no change,Collision
11311,Honda,Male,Married,62,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,1,none,7 years,51 to 65,External,no change,Collision
11312,Chevrolet,Male,Married,49,Sedan - Collision,Sedan,"more than 69,000",3,400,2,1,more than 7,41 to 50,External,no change,Collision
11313,Chevrolet,Male,Married,33,Sedan - All Perils,Sedan,"more than 69,000",1,400,3,1,7 years,31 to 35,External,no change,All Perils
11314,Toyota,Male,Single,37,Sedan - All Perils,Sedan,"less than 20,000",11,400,1,1,7 years,36 to 40,External,no change,All Perils
11315,Pontiac,Male,Married,50,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,3,none,more than 7,41 to 50,External,no change,All Perils
11316,Pontiac,Female,Married,50,Sedan - Liability,Sport,"20,000 to 29,000",3,400,3,2 to 4,6 years,41 to 50,External,no change,Liability
11317,Honda,Male,Married,22,Sport - Collision,Sport,"more than 69,000",10,400,2,none,5 years,26 to 30,External,no change,Collision
11318,Honda,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",15,400,2,more than 4,7 years,36 to 40,External,no change,Liability
11319,Honda,Male,Married,28,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,2,1,6 years,31 to 35,External,no change,All Perils
11320,VW,Male,Single,49,Sedan - All Perils,Sedan,"more than 69,000",11,400,3,1,more than 7,41 to 50,External,4 to 8 years,All Perils
11321,Honda,Male,Single,23,Sedan - Liability,Sport,"20,000 to 29,000",2,400,4,2 to 4,3 years,26 to 30,External,no change,Liability
11322,Pontiac,Male,Married,65,Sedan - All Perils,Sedan,"less than 20,000",5,400,2,none,6 years,51 to 65,External,no change,All Perils
11323,Chevrolet,Male,Married,39,Utility - All Perils,Utility,"more than 69,000",12,500,4,1,7 years,36 to 40,External,2 to 3 years,All Perils
11324,Toyota,Female,Married,39,Sedan - Liability,Sport,"30,000 to 39,000",9,400,2,more than 4,7 years,36 to 40,External,no change,Liability
11325,Toyota,Male,Married,74,Sedan - All Perils,Sedan,"less than 20,000",15,400,2,none,more than 7,over 65,External,no change,All Perils
11326,Chevrolet,Male,Married,45,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
11327,Honda,Male,Single,23,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,2,none,6 years,26 to 30,External,no change,All Perils
11328,Honda,Female,Single,34,Sedan - Liability,Sport,"20,000 to 29,000",7,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
11329,Chevrolet,Male,Married,36,Sedan - Liability,Sport,"20,000 to 29,000",15,400,1,more than 4,7 years,36 to 40,External,no change,Liability
